date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:32:24	870/870	---M--	200	added ('OK')	text/xml	etag:%2289b2f3d582e3bb0a975ade265f9b1d92%22	http://thcslieutu1.edu.vn/?feed=rss2&p=357	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/index0bc4.html	(from http://thcslieutu1.edu.vn/?p=357)
06:32:37	148549/148549	---M--	200	added ('OK')	application/pdf	etag:%2250e41f9e998ce1:2ea1%22	http://thcslieutu1.edu.vn/wp-content/uploads/2013/08/28-2009-TT-BGDDT.pdf	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/wp-content/uploads/2013/08/28-2009-TT-BGDDT.pdf	(from http://thcslieutu1.edu.vn/?p=338)
06:32:39	883/883	---M--	200	added ('OK')	text/xml	etag:%2289b2f3d582e3bb0a975ade265f9b1d92%22	http://thcslieutu1.edu.vn/?feed=rss2&p=447	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/index12fb.html	(from http://thcslieutu1.edu.vn/?p=447)
06:32:40	24855/24855	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202014%2023:32:43%20GMT	http://thcslieutu1.edu.vn/?p=425	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/index27ac.html	(from http://thcslieutu1.edu.vn/?p=447)
06:32:42	24057/24057	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202014%2023:32:45%20GMT	http://thcslieutu1.edu.vn/?p=476	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/index2847.html	(from http://thcslieutu1.edu.vn/?p=447)
06:32:44	3880/3880	---M--	200	added ('OK')	text/xml	etag:%2289b2f3d582e3bb0a975ade265f9b1d92%22	http://thcslieutu1.edu.vn/?feed=rss2&p=1270	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/indexbcfb.html	(from http://thcslieutu1.edu.vn/?p=1270)
06:32:45	25529/25529	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202014%2023:32:48%20GMT	http://thcslieutu1.edu.vn/?p=1231	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/indexb88e.html	(from http://thcslieutu1.edu.vn/?p=1270)
06:33:00	89130/89130	---M--	200	added ('OK')	image/jpeg	etag:%2276e173c237ecce1:2ea1%22	http://thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0681.jpg	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0681.jpg	(from http://thcslieutu1.edu.vn/?p=1275)
06:33:01	1936/1936	---M--	200	added ('OK')	text/xml	etag:%2289b2f3d582e3bb0a975ade265f9b1d92%22	http://thcslieutu1.edu.vn/?feed=rss2&p=1275	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/index2c11.html	(from http://thcslieutu1.edu.vn/?p=1275)
06:33:15	88070/88070	---M--	200	added ('OK')	image/jpeg	etag:%226814cfc437ecce1:2ea1%22	http://thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0686.jpg	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0686.jpg	(from http://thcslieutu1.edu.vn/?p=1275)
06:33:30	85324/85324	---M--	200	added ('OK')	image/jpeg	etag:%22d66f12c737ecce1:2ea1%22	http://thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0688.jpg	C:/lieutu1/saoluu2/thcslieutu1.edu.vn/wp-content/uploads/2013/11/IMG_0688.jpg	(from http://thcslieutu1.edu.vn/?p=1275)
